Experimento,Modelo,Mosaic,Épocas,mAP50,mAP50_95,Precisión,Recall
A — Baseline (mosaic ON),yolov9c,ON,50,0.9448,0.5856,0.938,0.9035
B — Sin mosaic,yolov9c,OFF,50,0.9403,0.5804,0.933,0.9014
