config,backbone,freeze,val_acc,val_f1,val_auc,best_f1,trainable
efficientnet_b3 | frozen,efficientnet_b3,frozen,0.9432624113475178,0.943190975020145,0.9860606060606061,0.943190975020145,393729
efficientnet_b3 | partial,efficientnet_b3,partial,0.9432624113475178,0.943190975020145,0.9860606060606061,0.943190975020145,393729
resnet50 | frozen,resnet50,frozen,0.900709219858156,0.9006642512077294,0.9703030303030303,0.9006642512077294,524801
resnet50 | partial,resnet50,partial,0.900709219858156,0.9006642512077294,0.9703030303030303,0.9006642512077294,524801
