Model,Accuracy,Precision (M),Recall (M),F1 (macro),F1 (weighted),AUC-ROC
EfficientNet-B3 (TL),0.7107692307692308,0.7439048214425257,0.758488612836439,0.7097773217814257,0.7147368667204509,0.890600414078675
ResNet-50 (TL),0.6707692307692308,0.7260952924859264,0.729503105590062,0.6707193515704154,0.6719039825422805,0.8095652173913044
