epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0001,0.07519997449532098,0.4875444839857651,0.07083256542682648,0.46808510638297873,0.3188405797101449,0.6613131313131313
2,0.0001,0.06647920144516378,0.5142348754448398,0.06367805927780502,0.46808510638297873,0.3188405797101449,0.8491919191919192
3,0.0001,0.06127933907286128,0.5106761565836299,0.0598127303235497,0.5531914893617021,0.4763925729442971,0.9138383838383839
4,0.0001,0.05679200092509548,0.5373665480427047,0.05198879119880656,0.7375886524822695,0.7283519916688362,0.9491919191919193
5,0.0001,0.050993434912475405,0.6637010676156584,0.04759509544423286,0.8368794326241135,0.8356893144854841,0.9592929292929293
6,0.0001,0.04648270689985082,0.7099644128113879,0.041165230386223356,0.8156028368794326,0.8134920634920635,0.9613131313131313
7,0.0001,0.04632237882376566,0.7615658362989324,0.04107045847262051,0.8723404255319149,0.8721796937953263,0.9666666666666667
8,0.0001,0.04056118774721631,0.7758007117437722,0.03884034638180801,0.9078014184397163,0.9075036584750467,0.9640404040404041
9,0.0001,0.04016348800466154,0.8131672597864769,0.032595288351917946,0.9078014184397163,0.907782864617397,0.9782828282828284
10,0.0001,0.03822160475088608,0.8078291814946619,0.03436278174003811,0.8936170212765957,0.8932734520865924,0.9744444444444444
11,0.0001,0.037994237053224626,0.8078291814946619,0.030048420243229425,0.9078014184397163,0.9077271583186509,0.9806060606060606
12,0.0001,0.03320682013003003,0.8594306049822064,0.028563879985124507,0.9148936170212766,0.9147864625302176,0.9823232323232324
13,0.0001,0.031047379843280834,0.8540925266903915,0.02745141643793025,0.9078014184397163,0.9075036584750467,0.9815151515151515
14,0.0001,0.02971242492176672,0.8629893238434164,0.0282449908554554,0.9290780141843972,0.9287878787878787,0.983030303030303
15,0.0001,0.030960908875505695,0.8932384341637011,0.02407355989653168,0.9432624113475178,0.943190975020145,0.9854545454545455
16,0.0001,0.02634081539442743,0.905693950177936,0.024791046184428196,0.9290780141843972,0.9287878787878787,0.9866666666666666
17,0.0001,0.031054396288356746,0.8772241992882562,0.02579245207738792,0.9290780141843972,0.9286437246963564,0.9771717171717171
18,0.0001,0.029381948857969235,0.8629893238434164,0.02244388614616073,0.9361702127659575,0.9359640712519554,0.9858585858585858
19,0.0001,0.03037546129625463,0.8790035587188612,0.023133075353524362,0.950354609929078,0.9501942776404098,0.9824242424242424
20,0.0001,0.023032822974317864,0.9163701067615658,0.02621876449713893,0.9361702127659575,0.9357045143638851,0.9755555555555556
21,0.0001,0.025330284345245445,0.902135231316726,0.02215655653981875,0.9290780141843972,0.9286437246963564,0.9864646464646465
22,0.0001,0.024831955556449518,0.9039145907473309,0.0244195394165127,0.9290780141843972,0.9284699675324675,0.986060606060606
23,5e-05,0.02943739338754759,0.8718861209964412,0.021524981945647417,0.9290780141843972,0.9289027833803953,0.9842424242424243
24,5e-05,0.02651076073165042,0.8985765124555161,0.024866279927974053,0.9219858156028369,0.9214166286669707,0.9837373737373738
25,5e-05,0.025901011255937644,0.902135231316726,0.022142292363635192,0.9361702127659575,0.9357045143638851,0.988080808080808
26,5e-05,0.023779786592912844,0.895017793594306,0.02323771369848268,0.9290780141843972,0.9286437246963564,0.9826262626262626
