epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0001,0.06984779890958101,0.5391459074733096,0.06170449553863377,0.5602836879432624,0.48793345829428303,0.9095959595959595
2,0.0001,0.05451822158916989,0.6494661921708185,0.04769856641267208,0.7659574468085106,0.7589743589743589,0.9723232323232324
3,0.0001,0.045391624097404104,0.7295373665480427,0.03931150057003008,0.9078014184397163,0.907782864617397,0.9782828282828283
4,0.0001,0.035333096245270604,0.8451957295373665,0.03076655906459964,0.9078014184397163,0.907782864617397,0.9866666666666667
5,0.0001,0.03376539770076283,0.8505338078291815,0.025796743625021996,0.9148936170212766,0.9148893360160966,0.9913131313131314
6,0.0001,0.03089235389598536,0.8594306049822064,0.02414092202241539,0.9148936170212766,0.9148550724637681,0.9876767676767677
7,0.0001,0.02694638377698503,0.8772241992882562,0.023629929791105553,0.9290780141843972,0.9290744466800804,0.989090909090909
8,0.0001,0.024599581526002424,0.9234875444839857,0.021604686499910153,0.9290780141843972,0.9290458937198067,0.9850505050505051
9,0.0001,0.026434764769790012,0.900355871886121,0.019081760673446857,0.9361702127659575,0.9361188019129121,0.9904040404040404
10,0.0001,0.02444145107953362,0.8772241992882562,0.01915594140160168,0.9219858156028369,0.9219701162147206,0.9907070707070706
11,0.0001,0.024588283893794777,0.9074733096085409,0.018596209030836187,0.950354609929078,0.9501942776404098,0.9923232323232323
12,0.0001,0.020775566228874214,0.9181494661921709,0.017547004717461605,0.9574468085106383,0.9572727272727273,0.9931313131313132
13,0.0001,0.016261903709960685,0.9341637010676157,0.01804756111604102,0.950354609929078,0.9501036348010717,0.991010101010101
14,0.0001,0.0181778844353143,0.9377224199288257,0.01403752566440731,0.9574468085106383,0.9573932312651088,0.995151515151515
15,0.0001,0.019812937262484613,0.9252669039145908,0.013966743655978366,0.9574468085106383,0.9572727272727273,0.9963636363636363
16,0.0001,0.02128443271385711,0.9252669039145908,0.013121246802785718,0.9716312056737588,0.9715611133521582,0.9961616161616161
17,0.0001,0.01674841513055181,0.9466192170818505,0.012576347983158227,0.9716312056737588,0.9715611133521582,0.9972727272727273
18,0.0001,0.0183917502358927,0.9181494661921709,0.012115007292822742,0.9645390070921985,0.9644746787603931,0.9965656565656565
19,0.0001,0.01339251843688751,0.9537366548042705,0.011648891137001361,0.9645390070921985,0.964424484028864,0.9971717171717172
20,5e-05,0.016302069688872087,0.9377224199288257,0.014273691526118746,0.9645390070921985,0.9643597391436227,0.9945454545454546
21,5e-05,0.013542923386941177,0.9572953736654805,0.014001609083819897,0.9645390070921985,0.9643597391436227,0.9957575757575757
22,5e-05,0.012607874928764813,0.9715302491103203,0.012976358558797666,0.9574468085106383,0.9573416700282371,0.994949494949495
23,5e-05,0.013237229949426822,0.9572953736654805,0.013866779255740185,0.950354609929078,0.9501036348010717,0.9944444444444444
