config,lr,loss_fn,val_loss,val_acc,val_f1,val_auc,best_f1
lr=1e-3 | BCE,0.001,bce,0.388254850046009,0.8085106382978723,0.8081632653061225,0.8895959595959596,0.8688507647788342
lr=1e-3 | Focal,0.001,focal,0.04739293141673643,0.7659574468085106,0.7655328798185941,0.8733333333333334,0.8151472367890278
lr=1e-4 | BCE,0.0001,bce,0.46678719875660346,0.8439716312056738,0.8437751813053989,0.9046464646464647,0.8491210191082803
lr=1e-4 | Focal,0.0001,focal,0.05947222983372127,0.8085106382978723,0.8075425913755624,0.9068686868686869,0.8182708666288601
