epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0001,0.6297690248998459,0.6067615658362989,0.6451749962272374,0.5319148936170213,0.3472222222222222,0.4302020202020202
2,0.0001,0.5857943750361106,0.6494661921708185,0.6655428735076958,0.5319148936170213,0.3472222222222222,0.5711111111111111
3,0.0001,0.5365660992381411,0.7099644128113879,0.717539592414883,0.5319148936170213,0.3472222222222222,0.7305050505050504
4,0.0001,0.5344384414445463,0.699288256227758,0.6191325043955593,0.6524822695035462,0.5873992236488504,0.7615151515151515
5,0.0001,0.5263009171044699,0.7117437722419929,0.5385153135086628,0.723404255319149,0.6935636667595431,0.8379797979797979
6,0.0001,0.5048567735427639,0.7402135231316725,0.5317053911111034,0.7446808510638298,0.7298850574712643,0.7668686868686869
7,0.0001,0.4904668148726331,0.7277580071174378,0.4909719448563055,0.7446808510638298,0.7445652173913043,0.8261616161616161
8,0.0001,0.4902899101959853,0.7597864768683275,0.4443599433763653,0.7659574468085106,0.7659574468085106,0.8726262626262625
9,0.0001,0.4282107604568115,0.7882562277580071,0.5559612988157475,0.7021276595744681,0.6987179487179487,0.7908080808080808
10,0.0001,0.4673040957849645,0.7740213523131673,0.3963315047270863,0.7943262411347518,0.7928256573947409,0.870909090909091
11,0.0001,0.39202564127504613,0.8042704626334519,0.39016052721239997,0.8297872340425532,0.826639344262295,0.885959595959596
12,0.0001,0.3923772185298472,0.8327402135231317,0.37467728523497884,0.8368794326241135,0.8347515923566879,0.8964646464646465
13,0.0001,0.41412650605537715,0.7953736654804271,0.6467127174350387,0.7021276595744681,0.6612128146453089,0.795959595959596
14,0.0001,0.40898309123049426,0.7953736654804271,0.4446808370292609,0.7943262411347518,0.7870866961728716,0.8547474747474748
15,0.0001,0.39649877418826907,0.8238434163701067,0.36341700845576347,0.8368794326241135,0.8356893144854841,0.8944444444444444
16,0.0001,0.4329482381666258,0.8131672597864769,0.48389261622800894,0.7872340425531915,0.774904214559387,0.858989898989899
17,0.0001,0.3814882811066095,0.8202846975088968,0.39050904022040944,0.851063829787234,0.8507936507936508,0.9032323232323232
18,0.0001,0.32061393426406426,0.8629893238434164,0.3938631438617165,0.8156028368794326,0.8128828093099224,0.8812121212121212
19,0.0001,0.33345332656890897,0.8362989323843416,0.45232558715428023,0.7588652482269503,0.7567978896103896,0.8351515151515151
20,0.0001,0.40548873011327724,0.8113879003558719,0.3621844082859391,0.8156028368794326,0.8074579831932773,0.9271717171717171
21,5e-05,0.3547253459161711,0.8327402135231317,0.3744926811955499,0.8297872340425532,0.8297101449275363,0.9052525252525253
22,5e-05,0.31386626912181487,0.8629893238434164,0.4651789420039941,0.7730496453900709,0.7730382293762575,0.8705050505050504
23,5e-05,0.3222775272627318,0.8416370106761566,0.33639948756982246,0.8652482269503546,0.8645670087457662,0.904949494949495
24,5e-05,0.31989644377681287,0.8701067615658363,0.32619402002780995,0.8794326241134752,0.8769570350598019,0.9166666666666667
25,5e-05,0.2702802512993592,0.8754448398576512,0.36234561982729757,0.851063829787234,0.8449494685029062,0.9180808080808082
26,5e-05,0.2769032488726212,0.895017793594306,0.3857769689238663,0.8156028368794326,0.8151472367890278,0.8922222222222222
27,5e-05,0.24804383378436132,0.900355871886121,0.40768419554893004,0.8368794326241135,0.833530106257379,0.8871717171717172
28,2.5e-05,0.2591491041446496,0.8932384341637011,0.40146915075626777,0.8368794326241135,0.8352552705105409,0.8882828282828282
29,2.5e-05,0.25881079783219035,0.891459074733096,0.38325683909950525,0.8368794326241135,0.8347515923566879,0.8947474747474748
30,2.5e-05,0.24031820028914253,0.8896797153024911,0.36341313436521705,0.8723404255319149,0.8699795081967212,0.9015151515151516
31,2.5e-05,0.2103034858177565,0.9163701067615658,0.3504662082550373,0.8652482269503546,0.8624813921256609,0.91
