Estrategia,Accuracy,F1 (macro),Recall (cracked),AUC-ROC
Sin mitigación (shuffle),0.6,0.5989025594288753,0.7739130434782608,0.7027950310559007
Con WeightedRandomSampler,0.6215384615384615,0.6215241287244014,0.8869565217391304,0.7956314699792961
