experiment,n_params,loss,epochs,sensitivity,specificity,f1,auc_roc
UNet_BCE,7849601,bce,60,0.43737331995189854,0.9943650191880602,0.5871273659044806,0.9334780371953149
UNet_Dice,7849601,dice,60,0.7316646004288464,0.9684563574115211,0.7224310959555514,0.9497973261020893
UNet_Combined,7849601,combined,60,0.585237223763586,0.9835470387837696,0.6732543266890021,0.9262392627930741
UNetPP_Combined,9159681,combined,60,0.5691402483419783,0.9853042741793904,0.6671972501931247,0.9440443407119057
UNetPP_3levels,2234497,combined,60,0.6600940630102801,0.9696898014872934,0.6796336818217968,0.9136595963768939
