dataset,sensitivity,specificity,f1,auc_roc
DRIVE_test,0.8007727643497359,0.9573215100627508,0.715484702488695,0.9572261562014345
CHASE_raw,0.5762753152558375,0.9774841198237257,0.6135713083010543,0.8898486140730517
